id,Creativity Page Rank,Cosine similarity,Overall Average Page Rank of Successors,Average Creativity Page Rank Successors,Frienship indegree,Creativity Ratio
1,0.0181357836767538,0.1412023,0.04298116805683965,0.03103333340419482,3,0.0060452612255846
2,0.00474883983935298,0.0,0.02601942938242824,0.023463628886042906,7,0.00067840569133614
3,0.0043415588169557,0.40479640000000006,0.026268656567009763,0.014596840512358412,3,0.0014471862723185666
4,0.0038794444460795298,0.1666667,0.013401792971031154,0.00829103522525271,2,0.0019397222230397649
5,0.00468770671253006,1.0,0.01378945676123946,0.009856673557000971,5,0.000937541342506012
6,0.0208712153445756,0.3547068,0.02453003520019066,0.033413928350560534,6,0.0034785358907626
7,0.0675098806432472,0.1666667,0.04056046781531528,0.03478906559024225,8,0.0084387350804059
8,0.0092326658913999,0.18257420000000002,0.03700513277204339,0.03858483045605842,1,0.0092326658913999
9,0.00535720528884744,0.0860663,0.04058787361108691,0.02134142410529065,5,0.001071441057769488
10,0.00529165694291426,0.46703900000000004,0.03532502608711583,0.047114193797806576,4,0.001322914235728565
11,0.00468770671253006,1.0,0.013400423893396856,0.009710375792572029,4,0.001171926678132515
12,0.007276377450295241,0.4550495,0.014329194177920975,0.010049036850061659,7,0.00103948249289932
13,0.0074547507941665,0.0,0.01823316750137181,0.015821176847711924,6,0.0012424584656944167
14,0.0184341681154781,,0.0,0.0,10,0.00184341681154781
15,0.008101703651649859,0.0,0.018844773300413845,0.01117085898099583,2,0.0040508518258249296
16,0.0067743621627845705,0.18257420000000002,0.01486358344258859,0.012881738101490655,5,0.0013548724325569141
17,0.00621932519665672,0.5227811,0.04136715169568784,0.03600029176493845,12,0.0005182770997213933
18,0.00657819841829561,0.0,0.018313645539692263,0.010021043153716084,6,0.0010963664030492683
19,0.0497401011160834,0.5155978,0.04021642704560966,0.030832389067049024,10,0.00497401011160834
20,0.0357596879813368,0.38888890000000004,0.0323718511868763,0.0493393900521499,7,0.005108526854476686
21,0.0503355780873201,0.4550495,0.03896896995966533,0.03818840971977254,10,0.00503355780873201
22,0.0185616629254061,0.46666670000000005,0.03486975828783776,0.03369987768231198,8,0.0023202078656757623
23,0.0040893342835194605,0.27777779999999996,0.03607837313525195,0.03591950303147827,3,0.0013631114278398202
24,0.028596283560162996,0.3846345,0.041329691914814636,0.03785811576441412,4,0.007149070890040749
25,0.0322437849725068,0.5714630999999999,0.0369818797278445,0.04422243218799208,8,0.00403047312156335
26,0.0078390957146826,0.1666667,0.020571056366873106,0.011632053885666217,5,0.00156781914293652
27,0.00331073867816387,0.7884159000000001,0.01260374886625728,0.015096647730223641,0,inf
28,0.0260540450042346,0.06085806,0.03411662786630649,0.030031231695038282,7,0.0037220064291763715
29,0.0193398376516486,0.07453560000000001,0.05025426828532766,0.03574962324503102,9,0.0021488708501831775
30,0.0226454695434849,0.1666667,0.0313176302564103,0.023795825149387415,1,0.0226454695434849
31,0.0037406437166283705,0.38888890000000004,0.027460414543622424,0.040023363173834633,3,0.0012468812388761236
32,0.00415296954539028,0.06085806,0.0393433154754399,0.02721407795036627,5,0.000830593909078056
33,0.0535607041318787,0.05555556,0.03567315811068506,0.036248961253366414,15,0.0035707136087919137
34,0.00498331623464945,0.05555556,0.01863581206637507,0.016218517138781315,1,0.00498331623464945
35,0.0493393900521499,0.5100989,0.02735875715114394,0.03840756463287552,5,0.00986787801042998
36,0.00607718319408087,0.6666667,0.01583504098836096,0.01451470782540358,3,0.00202572773136029
37,0.005517563579076521,0.4444444,0.02737511368484635,0.01941051354873519,4,0.0013793908947691302
38,0.0208537154587604,0.1666667,0.04534717977192355,0.0452332028588666,3,0.0069512384862534665
39,0.0144673514604649,0.43598580000000003,0.04179493501214549,0.046544082566844,4,0.003616837865116225
40,0.007499068076294429,0.2222222,0.024579908552237295,0.026974775000150403,3,0.0024996893587648098
41,0.00982460350885417,0.06804138,0.03038574926313937,0.025788056338740845,4,0.0024561508772135425
42,0.009282549317540441,1.0,0.00677323540364728,0.007098644469945097,3,0.003094183105846814
43,0.00691406824700541,0.8333333,0.006450803070977379,0.006879121921447135,5,0.001382813649401082
44,0.00498499534671805,0.3333333,0.02038002813581152,0.034040513809722825,3,0.0016616651155726833
45,0.0146619508423474,0.1666667,0.03620971810156811,0.03085813181085306,3,0.004887316947449133
46,0.0329852319649193,0.38888890000000004,0.03787245379917393,0.026787826850977938,10,0.00329852319649193
47,0.0038794444460795298,0.3883828,0.016706746771166604,0.014887592451819299,1,0.0038794444460795298
48,0.0290059176695826,0.5212100000000001,0.040009177467020506,0.04019231051097988,7,0.004143702524226086
49,0.0179336045505956,0.3439383,0.030138838663581597,0.041696331993906044,3,0.005977868183531867
50,0.0440512972513483,0.5,0.033475204570847204,0.03576119069878928,8,0.0055064121564185374
51,0.0191210653829115,0.4444444,0.031031888854998538,0.031981831531006005,10,0.0019121065382911502
52,0.0129809479020667,0.27777779999999996,0.03284095746440935,0.027273483253441606,7,0.0018544211288666714
53,0.0076521487493582206,,0.03732336529125035,0.03468357099966567,4,0.0019130371873395551
54,0.00744422711926732,0.4444444,0.01422892143714964,0.009297599191707282,6,0.0012407045198778866
55,0.00742626007815117,0.48686450000000003,0.011779652875865106,0.009365760542409727,4,0.0018565650195377925
56,0.0143418648980005,0.8424735000000001,0.024289419111423082,0.016142051892354722,8,0.0017927331122500625
57,0.019527843641767,0.0,0.028988444182889487,0.023092783703626,6,0.0032546406069611667
58,0.0190983264168128,0.2533599,0.032230801514663864,0.03938252552443252,6,0.003183054402802133
59,0.0269599996026153,0.3333333,0.03350058090015348,0.04014629039337974,8,0.0033699999503269125
60,0.0136335779916216,0.27777779999999996,0.015885802554357186,0.02027052269666443,3,0.0045445259972072
